time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T12:53:22.302Z,40.5798,-127.5003,10,3,ml,,268,2.582,0.66,us,us7000gk9u,2022-02-12T13:01:49.040Z,"274 km W of Ferndale, California",earthquake,11.8,2,0.042,76,reviewed,us,us
2022-02-12T12:43:35.190Z,17.9413333333333,-67.0871666666667,11.41,2.58,md,20,237,,0.15,pr,pr71334418,2022-02-12T13:59:08.990Z,"5 km SW of La Parguera, Puerto Rico",earthquake,0.58,0.31,0.131486270784974,7,reviewed,pr,pr
2022-02-12T12:42:53.653Z,62.1427,-151.1885,73.7,1.6,ml,,,,0.69,ak,ak0221zbi8p3,2022-02-12T12:46:12.333Z,"20 km NNE of Skwentna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-02-12T12:15:43.100Z,17.9321666666667,-67.0816666666667,11.27,2,md,5,264,,0.04,pr,pr71334438,2022-02-12T14:55:06.510Z,"6 km SW of La Parguera, Puerto Rico",earthquake,0.76,0.57,0.0867963183322784,5,reviewed,pr,pr
2022-02-12T12:13:54.757Z,60.5331,-152.45,7.9,1.9,ml,,,,0.56,ak,ak0221zbc10s,2022-02-12T12:18:59.559Z,"62 km W of Salamatof, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-02-12T12:12:28.862Z,60.5409,-152.5151,0.7,2.3,ml,,,,0.59,ak,ak0221zbbrbb,2022-02-12T12:15:38.984Z,"66 km W of Salamatof, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T11:57:54.530Z,61.4687,-150.3989,11.6,1.5,ml,,,,0.29,ak,ak0221zb00wt,2022-02-12T12:00:57.324Z,"10 km SE of Susitna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T11:50:01.350Z,38.8216667,-122.8093338,2.82,1.21,md,31,38,0.00182,0.02,nc,nc73691866,2022-02-12T13:59:11.155Z,"7km NW of The Geysers, CA",earthquake,0.21,0.37,0.09,6,automatic,nc,nc
2022-02-12T11:50:01.330Z,31.6814,-104.394,5,2.7,ml,,71,0.092,0.27,us,us7000gk9a,2022-02-12T12:17:07.040Z,"western Texas",earthquake,1.3,1.9,0.062,44,reviewed,us,us
2022-02-12T11:49:51.290Z,34.4905,-118.3771667,10.32,0.98,ml,14,127,0.05355,0.26,ci,ci40183992,2022-02-12T16:14:15.508Z,"5km W of Agua Dulce, CA",earthquake,0.7,1.17,0.254,20,automatic,ci,ci
2022-02-12T11:47:57.290Z,38.7077,-97.0282,5,2.5,mb_lg,,127,0.51,0.9,us,us7000gk99,2022-02-12T16:41:03.751Z,"4 km ENE of Hope, Kansas",earthquake,1.3,2,0.08,41,reviewed,us,us
